Step,Scenario,Decision,Network_Param_Anomalies_Score,Network_Param_Anomalies_Weight,Network_Param_ProtocolScore_Score,Network_Param_ProtocolScore_Weight,Network_Param_NodeReputation_Score,Network_Param_NodeReputation_Weight,Network_Score,Data_Param_Integrity_Score,Data_Param_Integrity_Weight,Data_Param_Freshness_Score,Data_Param_Freshness_Weight,Data_Param_Authenticity_Score,Data_Param_Authenticity_Weight,Data_Score,Device_Param_Identity_Score,Device_Param_Identity_Weight,Device_Param_Reputation_Score,Device_Param_Reputation_Weight,Device_Param_Compliance_Score,Device_Param_Compliance_Weight,Device_Score,App_Param_VulnerabilityScore_Score,App_Param_VulnerabilityScore_Weight,App_Param_Consistency_Score,App_Param_Consistency_Weight,App_Param_AccessCompliance_Score,App_Param_AccessCompliance_Weight,App_Score,Decay_Factor,Network_Weight,Data_Weight,Device_Weight,App_Weight,Belief_Safe,Belief_Unsafe,Uncertainty,Trust_Score
10,corporate_office,No Access,0.9385939437555966,0.33325951482431104,0.9677327158739094,0.3325340687702761,0.9865703316624461,0.3342064164054128,0.964317594881493,0.8275628180239243,0.3365868141768814,0.9220232543595817,0.338187256234613,0.8910861545278703,0.32522592958850555,0.8801675699760638,0.9678022700947836,0.3347610218988183,0.9365166642107478,0.3313543613969137,0.9854339861736129,0.33388461670426806,0.9633226069009818,0.92190170650877,0.33671601090772973,0.9195280389261705,0.32950174628356316,0.8856544645499524,0.333782242808707,0.9090208931785626,0.3328710836980796,0.08327471538089018,0.08304606488823599,0.08328339252481125,0.08326691090414219,0.9972899786159175,0.0011325427312147147,0.0015774786528679474,0.33223154445746045
11,corporate_office,No Access,0.9234204360294456,0.3339390784253726,0.9534702823686069,0.33225652553249274,0.9914349363961695,0.3338043960421346,0.9561082327839023,0.8729939960058181,0.3364436834702759,0.9279762133509364,0.33854219640905653,0.8604506685831053,0.3250141201206676,0.8875310381035961,0.9595049387167952,0.33489899484790076,0.9603842496815528,0.33126355799377366,0.9889006020389514,0.3338374471583256,0.9696095955965579,0.9051230011019553,0.33463276560733485,0.9000944381388454,0.3282766645725624,0.879735305611132,0.33709056982010277,0.8949142884854115,0.301194211912202,0.07536269460160791,0.0751432202538284,0.07533706569229345,0.07535123136447226,0.997925403376687,0.0008952384407309612,0.0011793581825823019,0.3007469633463901
12,corporate_office,No Access,0.9093492504706878,0.33330954903572907,0.9562071386030098,0.3326052018902134,0.9785712259439888,0.33408524907405757,0.9480604687304839,0.852533665379097,0.3363232409154024,0.9233331575859532,0.33867455371677263,0.8987279180641105,0.32500220536782487,0.891524885803576,0.9646742290499641,0.33514907421017415,0.9521876755372999,0.3313752244628228,0.9698862472245234,0.33347570132700305,0.9622745759930282,0.9342530365399996,0.33687073011689717,0.873057380246147,0.32573171262070627,0.8433869896689505,0.3373975572623967,0.8836616883580726,0.2725317930340126,0.06825179639407734,0.06808725289937355,0.06823125046743064,0.06796149327313104,0.998364330750144,0.0007268798402890822,0.0009087894095671789,0.2722098581641786
13,corporate_office,No Access,0.9422133335565072,0.33263652276872696,0.9661016505739479,0.33287068575673856,0.9799130480615371,0.3344927914745345,0.9627753367662575,0.8234359737505436,0.33306135178011054,0.9307987003392162,0.340575010172524,0.8612402559986118,0.3263636380473655,0.8723389785388797,0.9796813360392678,0.3354839601907001,0.9553703965027237,0.33135537007596866,0.9901302896132189,0.3331606697333313,0.975106956042952,0.9097142908949475,0.3374268100109944,0.912329677178118,0.32836777505700526,0.9065497102635658,0.3342054149320003,0.90951547948667,0.2465969639416065,0.06178688883889735,0.06154258389427311,0.061745318770137614,0.061522172438298404,0.9986857014104041,0.0005973328916658747,0.0007169656979301164,0.24636126268187936
14,corporate_office,No Access,0.9085147448826157,0.3323852539942404,0.9547376808029696,0.3331450220096614,1.0,0.33446972399609814,0.9545127339159774,0.8838127886100695,0.3328177687808752,0.9490891073864736,0.3401592854084014,0.8983901679336177,0.3270229458107235,0.9107842720877294,0.966767272330584,0.3361329740226147,0.9626974117541407,0.3317214453138341,0.9599344568048434,0.3321455806635512,0.9631477228175763,0.908367785825516,0.33624810899975743,0.9188316418156303,0.3302576236929959,0.8605645033284618,0.3334942673072467,0.8958814333682406,0.22313016014842982,0.05598951884599756,0.05542079071027962,0.05592946928267343,0.055790381309479206,0.9989216516197997,0.0004995661298862692,0.0005787822503139362,0.22295411998976175
15,corporate_office,No Access,0.9275058507923428,0.33229657285234804,0.9700221455116687,0.3328008213567733,0.9906684111859221,0.33490260579087866,0.9628086146602146,0.8639485819316955,0.33318155904286767,0.9347467800961089,0.34012928852003904,0.8982376817707775,0.3266891524370933,0.8992309996661187,0.9837063860296047,0.3356052370992305,0.940782724744979,0.3312375382824027,0.9819887132436245,0.33315722461836667,0.9689162030334377,0.9439985560619424,0.3355519483777388,0.9139737180447822,0.3313508431804785,0.8775427292825745,0.33309720844178264,0.9119135502837008,0.20189651799465538,0.05065036732737061,0.05009143669946972,0.050656886278603305,0.05049782768921174,0.9990997389264276,0.00042359693496838455,0.00047666413860392165,0.2017628768335335
16,corporate_office,No Access,0.9277021985402729,0.3322217525072484,0.9583676092335902,0.333495865374724,0.9723589830987213,0.3342823821180277,0.9528569625364418,0.8795889257194576,0.33358747436654584,0.9210199079735302,0.340110285192524,0.8663586613175854,0.32630224044093015,0.8893629639937397,0.9679473790983258,0.33581662053045563,0.9433663843632432,0.3313191923960721,0.9653649748691832,0.33286418707347226,0.9589436338899775,0.9596035641601239,0.33489648152416474,0.8937839946016941,0.3354474024309326,0.8260272533364379,0.32965611604490264,0.8934903127008835,0.18268352405273466,0.04586192162206175,0.04534570201598799,0.04580064009472308,0.04567526031996184,0.9992316345841471,0.00036741635387017933,0.00040094906198262503,0.1825797797446107
17,corporate_office,No Access,0.9187356151276046,0.3320816750882871,0.9596140106940285,0.3336308742055195,0.9904766066742372,0.33428745070619337,0.956356023151808,0.8462381843328957,0.3340951776747139,0.9373876165719619,0.340047047880917,0.8625562381227792,0.32585777444436914,0.8825506443730468,0.973320359343655,0.3356390331995381,0.9555712530387322,0.33141547475944666,0.9756147190815087,0.33294549204101537,0.9682019275828921,0.9671831784227213,0.3327999284270672,0.9112263253620345,0.3380154946361053,0.8990171632479328,0.32918457693682757,0.9258296941903513,0.16529888822158656,0.041548406980671075,0.04108833703888464,0.041504822804976395,0.04115732139705444,0.9993361905896435,0.00032136842780719244,0.0003424409825493191,0.16521746382091207
18,corporate_office,No Access,0.9008294246277899,0.33137353215868115,0.947636937445161,0.33442036954146603,0.9735648769741623,0.3342060982998528,0.9407914420982479,0.8666559946232925,0.3319804598599489,0.9460411336815673,0.3370211686160716,0.8494844524416051,0.3309983715239795,0.8877267144607678,0.9809247934225164,0.3343648734117162,0.9528123185717544,0.33286470402176954,0.9891106048617709,0.3327704225665142,0.9742911387336886,0.9680817148733996,0.33022192856586846,0.921914944183821,0.3393988743927855,0.8901824974635819,0.33037919704134616,0.9266764839690022,0.14956861922263506,0.037539349814072843,0.037352412597762875,0.03760881205606606,0.03706804475473328,0.9994181644323203,0.0002848107362783842,0.00029702483140137126,0.14950380767711638
19,corporate_office,No Access,0.9381923442147447,0.33094880278890226,0.9419378409492091,0.3345091540753499,0.9876729591800768,0.3345420431357477,0.9559985931850977,0.870725878656963,0.33059813907235924,0.9572873906130989,0.3388258512467833,0.9050417529215329,0.33057600968085743,0.911399161413801,0.9709063863355817,0.3339624697702601,0.9492077858170703,0.3336388622931136,0.9762195766025952,0.3323986679366263,0.965432987312482,0.9842904469026964,0.32692265719023905,0.8721686283809128,0.3405305477440999,0.8790971020847562,0.332546795065661,0.9111278329459658,0.1353352832366127,0.03400711574150874,0.033681183535211975,0.03408048123366563,0.03356650272622634,0.9994839908226504,0.00025493090122153734,0.00026107827612820156,0.13528311553966677
