Step,Scenario,Decision,Network_Param_Anomalies_Score,Network_Param_Anomalies_Weight,Network_Param_ProtocolScore_Score,Network_Param_ProtocolScore_Weight,Network_Param_NodeReputation_Score,Network_Param_NodeReputation_Weight,Network_Score,Data_Param_Integrity_Score,Data_Param_Integrity_Weight,Data_Param_Freshness_Score,Data_Param_Freshness_Weight,Data_Param_Authenticity_Score,Data_Param_Authenticity_Weight,Data_Score,Device_Param_Identity_Score,Device_Param_Identity_Weight,Device_Param_Reputation_Score,Device_Param_Reputation_Weight,Device_Param_Compliance_Score,Device_Param_Compliance_Weight,Device_Score,App_Param_VulnerabilityScore_Score,App_Param_VulnerabilityScore_Weight,App_Param_Consistency_Score,App_Param_Consistency_Weight,App_Param_AccessCompliance_Score,App_Param_AccessCompliance_Weight,App_Score,Decay_Factor,Network_Weight,Data_Weight,Device_Weight,App_Weight,Belief_Safe,Belief_Unsafe,Uncertainty,Trust_Score
0,corporate_office,Limited Access,0.9950837620663895,0.3333333333333333,0.9643200358633923,0.3333333333333333,0.941820332060367,0.3333333333333333,0.9670747099967162,0.9424072084277338,0.3333333333333333,0.900531641624544,0.3333333333333333,0.9389992739406288,0.3333333333333333,0.9273127079976355,0.9323614072810348,0.3333333333333333,0.922788195819241,0.3333333333333333,0.9372470916250056,0.3333333333333333,0.9307988982417603,0.9315254131406557,0.3333333333333333,0.9054948135623921,0.3333333333333333,0.8391209753624045,0.3333333333333333,0.8920470673551508,0.9048374180359595,0.22620935450898988,0.22620935450898988,0.22620935450898988,0.22620935450898988,0.5981163010751324,0.03153045113989757,0.37035324778497014,0.7087527477935336
1,corporate_office,Limited Access,0.9811028028109265,0.3325268350154,0.9734286165081245,0.3334601390703885,0.9377438755697808,0.33401302591421167,0.964061321090933,0.8948056498047363,0.33586008359206954,0.9559010976474623,0.32962209493408445,0.8896484733058316,0.33451782147384596,0.913218891866222,0.950299805583932,0.3322344948761971,0.9375222474219308,0.3330993736812573,0.9426149370014238,0.33466613144254553,0.9434717437238411,0.9012523046559892,0.3307906913341089,0.9120873201197122,0.3380023621108415,0.8685325035343912,0.33120694655504956,0.894077540054862,0.8187307530779818,0.2051115969674559,0.20414440101816356,0.20433773873507652,0.20513701635728582,0.815635998434658,0.026366771100802353,0.15799723046453962,0.7324648709771531
2,corporate_office,Limited Access,0.9912744353018699,0.3328125555114343,0.9671904403565847,0.3334894790047012,0.9348382731677389,0.3336979654838645,0.9644100438913379,0.897405585868745,0.33351919713321804,0.9424219177628648,0.33104613704154684,0.9070409196524741,0.3354346658252352,0.9155400936139333,0.9309151585312235,0.3323085489473019,0.9397031320601811,0.33301231545343546,0.9372870236642881,0.3346791355992627,0.9359741922591343,0.889774903339998,0.3306146829344338,0.9228939644998647,0.3391239913577357,0.8820492510231877,0.3302613257078306,0.8984548873744456,0.7408182206817179,0.18551362452248535,0.18484355346302409,0.18504637373520538,0.18541466896100312,0.9078236850190513,0.01810410442282406,0.0740722105581243,0.6999693486423495
3,corporate_office,Limited Access,0.9948631401688913,0.33300592035895193,0.9734394774607257,0.3335532256569992,0.9464594015196852,0.33344085398404877,0.9715774244159829,0.9040572554902869,0.33375339363637097,0.9264931038924998,0.33195962342954793,0.8975073854573216,0.3342869829340811,0.9093155149852776,0.9429972134333717,0.3330435961233811,0.9499952327683715,0.3320174656582966,0.9361822154677665,0.3349389382183224,0.9430380698950462,0.8857861519486978,0.33141472909393216,0.9445965982915795,0.3346954529619701,0.8677150258764852,0.33388981794409767,0.8994359759320283,0.6703200460356393,0.16780966496690036,0.16720819718121174,0.1674968939868786,0.16780528990064858,0.9506809997448823,0.011816135893579164,0.03750286436153816,0.6498299923968445
4,corporate_office,Limited Access,0.9791269294192206,0.3338883928222557,0.94282189048558,0.33123357230284467,0.943541101031522,0.3348780348748996,0.955184569400769,0.9327379567824018,0.33242691871394886,0.9458384667967021,0.3326409708992952,0.8969111336342084,0.33493211038675585,0.925096169667357,0.9465373863658383,0.3337363795101824,0.9190470430219675,0.3314094903537613,0.9497141449130211,0.33485413013605625,0.9384905764085653,0.9070735150371484,0.3358770781781913,0.9535443644769087,0.33322183606240197,0.901392450441117,0.33090108575940663,0.9206787463677486,0.6065306597126334,0.1519678142427278,0.15167236720431698,0.15206727229276318,0.1508232059728255,0.9720422153752268,0.007659408189190063,0.020298376435582743,0.5957291999853507
5,corporate_office,Limited Access,0.984752893423503,0.33379067264916984,0.9617060353522485,0.3316024617587944,0.937097194669696,0.33460686559203573,0.9611645745636598,0.9438442482854339,0.3310978981627155,0.9079985133270487,0.3320942975842302,0.8979201637175811,0.3368078042530543,0.9164724940274085,0.9560559851786461,0.3336780517676706,0.9472983596803227,0.3319974727712965,0.9233085259747255,0.33432447546103283,0.9422001985246928,0.891532322975313,0.33726231820072283,0.9515544937938796,0.33308137023200085,0.8416286389553272,0.32965631156727626,0.895073525468213,0.5488116360940264,0.13746493882474087,0.13725771324109157,0.13753245915006587,0.13655652487812805,0.9831019198462704,0.00516935859946326,0.011728721554265964,0.542756202510754
6,corporate_office,Limited Access,0.9699387126917153,0.3332801801728706,0.963825592907888,0.3326804006542266,0.9575689480051159,0.3340394191729028,0.9637730085415672,0.9232012172908414,0.3357796813951174,0.9813129001695565,0.3264883835941388,0.9323251737999013,0.33773193501074383,0.945255458188607,0.9485683724020217,0.3335566406919451,0.9354790194744591,0.3322292141767954,0.9358589123812687,0.3342141451312594,0.9399720256488989,0.8699752479410742,0.3342776028802754,0.9404952198239572,0.3342597345601224,0.8608253968398986,0.3314626625596022,0.8905144010158145,0.4965853037914095,0.1246673361575298,0.12337351577198824,0.12471841420527859,0.12382603765661293,0.9893263327765247,0.0035321347095979756,0.007141532513876836,0.4930581075571415
7,corporate_office,No Access,0.9731216653902485,0.33346263419086714,0.9539410432442099,0.33310892221733757,0.961098579787714,0.3334284435917953,0.9627235903000996,0.8822398441362489,0.33297495603468324,0.9632827850808937,0.3273977518933277,0.9120233661917632,0.3396272920719891,0.9188884177524299,0.9602174743916482,0.3329786849406747,0.9443001632542825,0.332520836905893,0.9391716004130676,0.33450047815343226,0.9478847818619678,0.8747989866662518,0.33318391371042033,0.9353881020155883,0.33484765477296397,0.85473786940722,0.3319684315166157,0.8884274522147941,0.44932896411722156,0.11280161500621647,0.11176747076593806,0.11274948211170294,0.11201039623336412,0.992904793697572,0.0025133337463132802,0.004581872556114197,0.44717026644383157
8,corporate_office,No Access,0.972835690072692,0.33395839293302276,0.9412454524405471,0.3325428985738863,0.9607860111032106,0.3334987084930909,0.9583120285097821,0.9427030463141706,0.33196996921452804,0.9462145548309169,0.3292530544098734,0.8872860675114822,0.3387769763755986,0.9250852247002503,0.9328167359293499,0.3328440688320681,0.9448744541318994,0.3328011577692656,0.9488471586838407,0.33435477339866637,0.9421894068747766,0.9056074428218036,0.3332321360191327,0.9479138208863813,0.334458690083691,0.8737174353412589,0.33230917389717624,0.9091598365700331,0.40656965974059917,0.10203708808432639,0.10122047792168261,0.10202099009791123,0.10129110363667895,0.9951048128917114,0.0018270189306622711,0.0030681681776260072,0.4052031372296178
9,corporate_office,No Access,0.9781585375319226,0.33388084879458657,0.9591915268706647,0.33265738882190315,0.9512661383392289,0.33346176238351033,0.9628814344620749,0.8957359682273305,0.33280273677386457,0.899456436697159,0.3269203353047407,0.899497055534255,0.3402769279213947,0.898232076261422,0.9378682198024237,0.33322339032897486,0.9184477059492154,0.3321967278590386,0.9456979237181549,0.33457988181198645,0.9340364500577949,0.8911637914939542,0.3334371810521893,0.9449379075721369,0.3342970388188378,0.8539864723670975,0.3322657801289729,0.8967875683212023,0.36787944117144233,0.09241412358020863,0.09129565774023518,0.09236696289912809,0.09180269695187042,0.996466816455829,0.001386308747714017,0.002146874796456588,0.3669745511338493
