Step,Scenario,Decision,Network_Score,Network_Weight,Data_Score,Data_Weight,Device_Score,Device_Weight,App_Score,App_Weight,Instant_Trust,Prev_Trust,Long_Term_Decay,Short_Term_Weight,Inertia_Component,Freshness_Component,Ensemble_Trust
0,corporate_office,Full Access,0.9568433727342327,0.25,0.9156142165898332,0.25,0.9056295213168262,0.25,0.8776134181600737,0.25,0.7945871668740042,0.5,0.9989588756797245,1.0,0.0,0.7945871668740042,0.7945871668740042
1,corporate_office,Full Access,0.9604824204083718,0.25,0.8991755669862316,0.25,0.9220035903034486,0.25,0.8962590786016833,0.25,0.7978131478156012,0.7945871668740042,0.9989588756797245,0.9048374180359595,0.07553624181473126,0.7218911887446099,0.7974274305593412
2,corporate_office,Full Access,0.9653362629710971,0.25131937805727034,0.9005262019922753,0.24971557055783403,0.9165544590383508,0.24972871156883267,0.8671285472113548,0.249236339816063,0.7937793911762929,0.7974274305593412,0.9989588756797245,0.8187307530779818,0.1443985762603968,0.6498915987155482,0.794290174975945
3,corporate_office,Full Access,0.9478101867330775,0.25130927816663146,0.9166940686665417,0.250224146228643,0.9158957278337053,0.2504525823448292,0.8758270012968326,0.24801399325989634,0.7947439332259942,0.794290174975945,0.9989588756797245,0.7408182206817179,0.20565120922401436,0.588760786510071,0.7944119957340854
4,corporate_office,Full Access,0.9611872530074961,0.2505645508431706,0.9086105632000083,0.2499253620595273,0.9191548326929737,0.2507174651759165,0.8941556128315068,0.2487926219213855,0.7986009585366294,0.7944119957340854,0.9989588756797245,0.6703200460356393,0.2616290379423566,0.5353182312903791,0.7969472692327357
5,corporate_office,Full Access,0.9580303297185566,0.25065214992729784,0.8897818882761462,0.2501892857754715,0.9186173505520874,0.2507571807800177,0.8984824739068428,0.2484013835172129,0.7959627881347697,0.7969472692327357,0.9989588756797245,0.6065306597126334,0.31324784642194164,0.48277583499408894,0.7960236814160306
6,corporate_office,Full Access,0.9577933652593646,0.251068312583631,0.9306760836271939,0.24952115290947063,0.9241404720106324,0.2511296560623631,0.8895458677541176,0.2482808784445352,0.8013707541883878,0.7960236814160306,0.9989588756797245,0.5488116360940264,0.3587826957540897,0.43980159472403296,0.7985842904781226
7,corporate_office,Full Access,0.9654210825856715,0.25147587399672816,0.8953015076146265,0.24816916010951628,0.9056782207184249,0.25134097672149613,0.8691162493964968,0.24901398917225945,0.7917489760722424,0.7985842904781226,0.9989588756797245,0.49658530379140947,0.40160051615910014,0.39317090580937186,0.7947714219684721
8,corporate_office,Full Access,0.9584481635586526,0.2515854952898615,0.9215155188156949,0.2483434752694078,0.9271848960051619,0.2512316445798088,0.9094031072790427,0.24883938486092194,0.8034153310520943,0.7947714219684721,0.9989588756797245,0.44932896411722156,0.437201946251777,0.36099777845753217,0.7981997247093091
9,corporate_office,Full Access,0.9555290263571552,0.25202313179315666,0.9213236585512637,0.24862552985706896,0.9181270190928974,0.25139727041522525,0.8908731613185801,0.24795406793454908,0.7990455120729952,0.7981997247093091,0.9989588756797245,0.4065696597405991,0.4731827786941502,0.32486766196077044,0.7980504406549207
10,corporate_office,Full Access,0.9561323647178839,0.2519021873961217,0.9004395750014285,0.24851465944008302,0.9230784798710334,0.25136480618052565,0.864008901310461,0.2482183469832697,0.7929803384158071,0.7980504406549207,0.9989588756797245,0.36787944117144233,0.503938880686819,0.2917211637563483,0.7956600444431674
11,corporate_office,Full Access,0.9642481793157744,0.25208937222049677,0.9055360758140383,0.24862257409588914,0.9249580748783517,0.25189336680621777,0.8880999107444258,0.2473946868773963,0.7986753697730334,0.7956600444431674,0.9989588756797245,0.33287108369807955,0.5302551862599884,0.26585593585931405,0.7961111221193025
12,corporate_office,Full Access,0.9566825056279342,0.25193416316060574,0.9147427369031218,0.24873417744787446,0.9116702317877923,0.2517420058318195,0.9033940294315445,0.24758965355970028,0.799117658531989,0.7961111221193025,0.9989588756797245,0.301194211912202,0.5557478544657449,0.24068961338666658,0.7964374678524115
13,corporate_office,Full Access,0.9607467346642693,0.25195345753595144,0.912740114142387,0.24879554864891637,0.9167101252122026,0.25153286736702246,0.91135779823121,0.24771812644810975,0.8012870925784943,0.7964374678524115,0.9989588756797245,0.2725317930340126,0.5787797270329751,0.2183762080754279,0.797155935108403
14,corporate_office,Full Access,0.9583221037094689,0.25230117219765225,0.915152782971752,0.2489360531222641,0.9128597015000304,0.25159816910532956,0.8747238261349966,0.24716460557475423,0.7955202248131577,0.797155935108403,0.9989588756797245,0.24659696394160643,0.5999544235889114,0.1961728721930689,0.7961272957819803
15,corporate_office,Full Access,0.9596863568297251,0.25249146019995894,0.9034066939320355,0.24906922441131055,0.922397771260281,0.2516986731369938,0.8985373305227026,0.2467406422517368,0.7988277048708914,0.7961272957819803,0.9989588756797245,0.22313016014842982,0.6178433626216496,0.17824255371884462,0.7960859163404943
16,corporate_office,Full Access,0.9633479907425354,0.25225308863442564,0.9236147993586794,0.2498245286823299,0.9223119247158397,0.25141989009135446,0.8880358264463009,0.24650249259189003,0.8007634109582267,0.7960859163404943,0.9989588756797245,0.20189651799465538,0.6346974541603445,0.16167134440998923,0.7963687985703337
17,corporate_office,Full Access,0.9554180838882769,0.252087581332279,0.9196666922233535,0.2502270643649286,0.9084809918127661,0.25132502792303146,0.899416767709695,0.24636032637976102,0.7986334412248444,0.7963687985703337,0.9989588756797245,0.1826835240527346,0.6502076874446762,0.14589717146931708,0.7961048589139932
18,corporate_office,Full Access,0.9579596971124547,0.2516729599625078,0.9196702035033013,0.25038079841043437,0.9151601888592019,0.25102031067620173,0.8743074576437255,0.24692593095085608,0.7963902522025613,0.7961048589139932,0.9989588756797245,0.16529888822158653,0.6638177737108175,0.1316424232795923,0.7954601969904098
19,corporate_office,Full Access,0.9534968005138229,0.2515752682141466,0.9126492335582351,0.2503482463219279,0.9147747249276873,0.25110469761414456,0.8813966219358571,0.2469717878497809,0.7956605909204544,0.7954601969904098,0.9989588756797245,0.14956861922263504,0.6757800094087318,0.11900585595383822,0.7947858653625701
20,corporate_office,Full Access,0.9627555119525166,0.25153683461639526,0.9081516603447328,0.25051642398826757,0.9208219339567296,0.25109301696807956,0.8956134776238482,0.24685372442725764,0.7992720108017837,0.7947858653625701,0.9989588756797245,0.1353352832366127,0.6865078102752181,0.10816970396495636,0.7946775142401745
21,corporate_office,Full Access,0.9615338743348154,0.2510347713149025,0.9380141437677442,0.25037331891147385,0.9282024438378782,0.250663111893513,0.9054767449122956,0.24792879788011074,0.805797261334771,0.7946775142401745,0.9989588756797245,0.1224564282529819,0.6966381014627151,0.0986750545190907,0.7953131559818059
