Step,Scenario,Decision,Network_Param_Anomalies_Score,Network_Param_Anomalies_Weight,Network_Param_ProtocolScore_Score,Network_Param_ProtocolScore_Weight,Network_Param_NodeReputation_Score,Network_Param_NodeReputation_Weight,Network_Score,Data_Param_Integrity_Score,Data_Param_Integrity_Weight,Data_Param_Freshness_Score,Data_Param_Freshness_Weight,Data_Param_Authenticity_Score,Data_Param_Authenticity_Weight,Data_Score,Device_Param_Identity_Score,Device_Param_Identity_Weight,Device_Param_Reputation_Score,Device_Param_Reputation_Weight,Device_Param_Compliance_Score,Device_Param_Compliance_Weight,Device_Score,App_Param_VulnerabilityScore_Score,App_Param_VulnerabilityScore_Weight,App_Param_Consistency_Score,App_Param_Consistency_Weight,App_Param_AccessCompliance_Score,App_Param_AccessCompliance_Weight,App_Score,Network_Weight,Data_Weight,Device_Weight,App_Weight,Belief_Safe,Belief_Unsafe,Uncertainty,Trust_Score
0,corporate_office,Full Access,0.9464900694005051,0.3333333333333333,0.9218788392896726,0.3333333333333333,0.9483968257588522,0.3333333333333333,0.9389219114830099,0.8803729823526707,0.3333333333333333,0.8077486080133051,0.3333333333333333,0.956107986504311,0.3333333333333333,0.8814098589567622,0.9019754920643964,0.3333333333333333,1.0,0.3333333333333333,0.9447455356312677,0.3333333333333333,0.9489070092318879,0.8917826120504478,0.3333333333333333,0.894147924348898,0.3333333333333333,0.9304996055627552,0.3333333333333333,0.905476713987367,0.25,0.25,0.25,0.25,0.6319894150434977,0.03728833058747936,0.3307222543690228,0.7973505422280092
1,corporate_office,Full Access,0.9489310672988963,0.3334073858912393,0.9186526663191679,0.33337030629090103,0.9537051728536874,0.3332223078178597,0.9404279859610192,0.8840413604568785,0.34089395151436935,0.844009765363723,0.3301558243761053,0.9178158169772866,0.3289502241095254,0.881934811219373,0.9146295419847794,0.33251797628456387,0.9959912592564272,0.3337150171093051,0.9478819134385954,0.3337670066061311,0.9528797133388254,0.9362049132769275,0.3232549364587369,0.8985926119264391,0.33903479779552376,0.9172061272455527,0.3377102657457395,0.9170369492144383,0.25022277560303463,0.2502352408992947,0.25013827044502596,0.24940371305264467,0.8591797234798493,0.026440029455267362,0.11438024706488326,0.9163698470122909
2,corporate_office,Full Access,0.9517817359089392,0.33415017392587604,0.9310460522834612,0.33338760822771696,0.935935201901779,0.33246221784640695,0.9396003420988754,0.849733564612933,0.3379577717817213,0.8698345028473246,0.32488472801797996,0.9283451473738613,0.33715750020029883,0.882768537194583,0.8977700852535447,0.3335664463407279,0.9932317305120625,0.3350202562271694,0.9235649163961317,0.33141329743210274,0.9383004201535896,0.9076399544073442,0.3298855204322015,0.8746093673599059,0.3373698435863014,0.9552871110884636,0.33274463598149717,0.9123507662269988,0.2503717634237307,0.25037342373260046,0.24943662115362109,0.2498181916900477,0.9454664476455805,0.014751645046097207,0.039781907308322206,0.9653574012997416
3,corporate_office,Full Access,0.9416082590346333,0.33487049743945174,0.9263426103934407,0.33460697883795754,0.9224532906073395,0.33052252372259067,0.9301691179563863,0.8552856582731412,0.3387398253978905,0.8795573004958258,0.3215724988384184,0.930968692611457,0.33968767576369113,0.888799344942728,0.9007942502450217,0.33354104960349645,0.9994394882535191,0.33467376418626577,0.9325508947566493,0.3317851862102378,0.9443446075810782,0.8844902722948614,0.32863423597283525,0.8710400113167344,0.3367784258968206,0.9234237865945276,0.3345873381303442,0.8929871754883314,0.25042751599617497,0.2506359755095308,0.2501203687721924,0.2488161397221019,0.9787735760754043,0.0073936980748621345,0.013832725849733163,0.9856899390002709
4,corporate_office,Full Access,0.9501068163351262,0.334755731635008,0.9297177661434302,0.334443443812809,0.9500185986686329,0.330800824552183,0.943258649696127,0.8817272597523205,0.3375198757023271,0.8482146925025414,0.3246655934914702,0.9504399373726381,0.3378145308062028,0.8940590231674936,0.9222134516864923,0.33250805674571926,0.9866232859907516,0.3346211075989918,0.9349679029706787,0.33287083565528897,0.9480119266389428,0.9170975993326036,0.3325162142705752,0.8904385355961995,0.3397098767916822,0.8868248558279916,0.3277739089377427,0.898118636602552,0.25042327663279657,0.2503060662579276,0.25030582460506196,0.2489648325042139,0.9918946154549495,0.0033448704650008063,0.004760514080049072,0.994274872494974
5,corporate_office,Full Access,0.9498603333031367,0.33531338591664106,0.9299008382435122,0.33498384697228556,0.964744063495483,0.3297027671110734,0.9480814318937906,0.8470504781503762,0.3369008844792797,0.8698986219052207,0.3267643533970561,0.963476862791302,0.33633476212366414,0.8936746774538749,0.9011404526872219,0.3326070153343048,0.9931191843825692,0.3345367869511468,0.9439384660385249,0.33285619771454844,0.9461563060502762,0.9359301570965133,0.3312770978146945,0.8728575548277074,0.34017879232072384,0.9458131714794967,0.32854410986458166,0.9177212015914218,0.25030191962063136,0.25030892596750837,0.25052379931422214,0.2488653550976382,0.9969508785015231,0.0014235217513075096,0.0016255997471686934,0.9977636783751075
6,corporate_office,Full Access,0.9453908998210366,0.33572290346569705,0.9115246861151726,0.334583242087655,0.9634810601269999,0.3296938544466479,0.9400240469209259,0.8537013829925238,0.3363730846315162,0.858277939503319,0.32816249051946567,0.9248801610394425,0.3354644248490182,0.879081185014075,0.908429563001993,0.332742714335403,1.0,0.33430106472963916,0.9359099793504171,0.3329562209349579,0.9481914331652757,0.91250216223759,0.33232479178866436,0.8690190646503481,0.3391172732525078,0.9074619812226828,0.3285579349588278,0.8961003012851552,0.2504053663597469,0.2502144811690277,0.2505862227351737,0.2487939297360517,0.9988259606464565,0.0006135417608305803,0.0005604975927123723,0.9991062094428127
7,corporate_office,Full Access,0.942687217833918,0.3354598205446982,0.9184083500627009,0.3344358994955565,0.9415986577944606,0.33010427995974534,0.9342081545240994,0.8862337910096767,0.33565441651889005,0.8286496764756456,0.3278985335655339,0.9440607145310012,0.33644704991557617,0.8868077421217415,0.9086461420418482,0.33286539888711547,0.9890503766987188,0.3340923817849312,0.9402153282875051,0.3330422193279532,0.9460224561535876,0.8986310596429115,0.3334135662521902,0.8798761227177267,0.3400433449767674,0.8888399911431116,0.3265430887710424,0.8890563624057499,0.2504720320510946,0.2503967746820232,0.2507231173628519,0.24840807590403022,0.9995462520957797,0.00026022656598758244,0.00019352133823191675,0.9996430127648958
8,corporate_office,Full Access,0.9472812050447191,0.3355747236883977,0.9384845845928381,0.33391968451063503,0.9379125774781277,0.3305055918009673,0.9412474565204081,0.8921369445638803,0.33469582687994703,0.8738129238478524,0.32809529530494347,0.9472229605080429,0.3372088778151095,0.9047004131957175,0.8939991225393725,0.3328244459194958,0.9788893181962315,0.33364525424019925,0.9381193297499676,0.3335302998403049,0.9370377593917716,0.8993275133211962,0.3338970557952545,0.8641308249172373,0.3392360046201718,0.89908054934301,0.3268669395845737,0.8873068050114388,0.25084566415712534,0.2499327672959026,0.25085194829915025,0.2483696202478218,0.9998261149324346,0.00010732718326865164,6.655788429588139e-05,0.9998593938745826
9,corporate_office,Full Access,0.9482640338011709,0.33536386261881096,0.9254515540994087,0.33387790153648983,0.9502892730002673,0.33075823584469927,0.9413173154941595,0.8567740830839734,0.3342344637297335,0.8559426390142609,0.32876068219000026,0.9423510342222268,0.3370048540802663,0.885340584895393,0.8984782516058474,0.3328715444415618,1.0,0.33360868546924866,0.9447082961901261,0.3335197700891896,0.9477654224751221,0.8882448790496655,0.3335896381491595,0.856129030435504,0.33808040315314947,0.9250998646162584,0.32832995869769094,0.8894877358914677,0.25084749872425294,0.25001491596559045,0.2508490350586946,0.24828855025146204,0.9999331258055487,4.394684428393639e-05,2.2927350166401794e-05,0.9999445894806319
